Bib Number,Athlete Name,Gender,City,State,Country,Division,Status,Finish Time,Swim Time,T1 Time,Bike Time,T2 Time,Run Time,Overall Rank,Gender Rank,Division Rank,AWA Points,Swim Rank (Overall),Swim Rank (Gender),Swim Rank (Division),Bike Rank (Overall),Bike Rank (Gender),Bike Rank (Division),Run Rank (Overall),Run Rank (Gender),Run Rank (Division),Finish (Seconds),Swim (Seconds),T1 (Seconds),Bike (Seconds),T2 (Seconds),Run (Seconds)
"61","Joao Carvalho Rodrigues Neto","Male","TERESOPOLIS","BR-RJ","BR","M30-34","FIN","4:20:53","0:28:53","0:08:07","2:13:39","0:04:11","1:26:04","25","25","6","3347","39","35","10","26","26","6","25","25","6","15653","1733","487","8019","251","5164"
"229","Renan Papareli","Male","Ribeirão Pires","SP","BR","M30-34","FIN","4:21:37","0:30:54","0:06:04","2:15:00","0:03:27","1:26:12","26","26","7","3334","96","85","20","29","29","7","26","26","7","15697","1854","364","8100","207","5172"
"1858","Sebastian Tapia","Male","Valparaiso","Valparaíso","CL","M35-39","FIN","4:21:55","0:28:42","0:06:22","2:17:15","0:03:41","1:25:56","27","27","3","3359","37","33","2","31","31","5","27","27","3","15715","1722","382","8235","221","5156"
"1944","Eduardo García","Male","Las Condes","CL-RM","CL","M25-29","FIN","4:23:02","0:29:11","0:05:36","2:14:29","0:03:52","1:29:53","28","28","3","3195","44","40","6","25","25","3","28","28","3","15782","1751","336","8069","232","5393"
"1792","Juan Pablo Castro Mena","Male","Pucón","La Araucanía","CL","M30-34","FIN","4:23:15","0:29:36","0:05:57","2:17:33","0:04:09","1:26:00","29","29","8","3304","56","51","13","34","34","8","29","29","8","15795","1776","357","8253","249","5160"
"23","Macarena Salazar","Female","Santiago","CL-RM","CL","FPRO","FIN","4:23:28","0:26:18","0:04:08","2:23:04","0:02:35","1:27:23","30","1","1","3500","15","2","1","37","1","1","30","1","1","15808","1578","248","8584","155","5243"
"27","Léa Riccoboni","Female","Santiago","CL-RM","FR","FPRO","FIN","4:23:30","0:30:04","0:04:10","2:20:09","0:02:53","1:26:14","31","2","2","3499","69","10","5","41","3","3","31","2","2","15810","1804","250","8409","173","5174"
"177","Daniel Cortes","Male","Lampa","CL-RM","CL","M35-39","FIN","4:23:40","0:30:08","0:04:44","2:13:08","0:03:54","1:31:46","32","30","4","3327","71","61","7","21","21","3","32","30","4","15820","1808","284","7988","234","5506"
"25","Cecilia Sayuri Ramirez Alavez","Female","Oaxaca","Oaxaca","MX","FPRO","FIN","4:23:48","0:26:53","0:03:47","2:22:51","0:02:36","1:27:41","33","3","3","3494","16","3","2","38","2","2","33","3","3","15828","1613","227","8571","156","5261"
"1875","Jose Raul Martinez","Male","Santiago","","CL","M30-34","FIN","4:23:51","0:29:22","0:05:28","2:19:11","0:03:38","1:26:11","34","31","9","3293","46","42","11","40","38","11","34","31","9","15831","1762","328","8351","218","5171"
"1708","Lorenzo Torres","Male","Concepcion","CL-BI","CL","M40-44","FIN","4:24:09","0:33:42","0:05:40","2:12:28","0:03:45","1:28:33","35","32","5","3290","237","210","35","28","28","5","35","32","5","15849","2022","340","7948","225","5313"
"198","Santiago Daniel Ledesma","Male","Ituzaingo","Buenos Aires","AR","M18-24","FIN","4:24:39","0:28:13","0:06:37","2:13:54","0:03:12","1:32:42","36","33","1","3500","26","23","2","24","24","1","36","33","1","15879","1693","397","8034","192","5562"
"59","Leonardo Sánchez","Male","Vitacura","CL-RM","CL","M35-39","FIN","4:24:58","0:32:18","0:05:25","2:17:45","0:04:23","1:25:06","37","34","5","3304","157","140","26","48","45","6","37","34","5","15898","1938","325","8265","263","5106"
"22","Francisca Garrido","Female","Santiago","CL-RM","CL","FPRO","FIN","4:25:10","0:30:02","0:04:18","2:21:31","0:02:36","1:26:43","38","4","4","3469","68","9","4","52","5","5","38","4","4","15910","1802","258","8491","156","5203"
"192","Lucas Cancela","Male","Montevideo","UY-MO","UY","M30-34","FIN","4:25:38","0:26:59","0:05:42","2:15:20","0:04:01","1:33:36","39","35","10","3261","17","14","3","22","22","4","39","35","10","15938","1619","342","8120","241","5616"
"841","Mariano Méndez Casarego","Male","las heras","AR-M","AR","M45-49","FIN","4:27:18","0:27:51","0:04:47","2:25:27","0:02:56","1:26:18","40","36","1","3500","24","21","1","59","54","2","40","36","1","16038","1671","287","8727","176","5178"
"1819","Gonzalo Arranz","Male","Bahía Blanca","AR-B","AR","M40-44","FIN","4:27:22","0:33:14","0:05:24","2:22:40","0:03:07","1:22:58","41","37","6","3232","201","180","29","76","71","15","41","37","6","16042","1994","324","8560","187","4978"
